cota cotb p flp localx localy pT hittime PID
0.87968 786.60404 0.00139 0 24.03042 -18.64646 0.00084 -0.16238 22
-1.53911 183.08184 0.00051 0 12.08401 -27.61832 0.00045 0.32042 22
0.61216 92.20053 0.00205 0 -1.94103 30.16737 0.00057 -0.10161 22
-0.58783 4.88743 0.01117 0 -20.20456 22.45519 0.01116 5.13277 11
2.34554 8.84945 0.01117 0 -30.16500 -4.38389 0.01116 1.64211 11
2.52480 53.92423 0.00150 0 -30.16500 2.91814 0.00105 2.15658 11
-0.08785 214.04807 0.00152 0 -30.50447 5.18063 0.00146 2.08798 11
-1.03740 4.90603 0.01117 0 22.86386 -19.79589 0.01116 4.68257 11
1.85619 94.55584 0.01117 0 -26.35276 16.30699 0.01116 4.98980 11
-0.55998 22.01653 0.01117 0 -29.87148 6.70882 0.01116 2.73695 11
0.70489 7.07714 0.01117 0 8.38570 29.17689 0.01116 1.88700 11
0.82499 9.54493 0.01117 0 -19.40687 -23.25288 0.01116 5.40612 11
-1.49621 7.08195 0.01117 0 13.03908 -27.24940 0.01116 1.66283 11
-0.39943 14.40167 0.00392 0 6.63547 -30.16500 0.00375 1.69683 11
1.29670 7.32536 0.01117 0 22.67893 19.98083 0.01116 1.44872 11
14.52493 32.19490 0.00229 0 30.16500 8.24174 0.00173 1.68923 11
-15.53172 5.11236 0.01117 0 -29.93501 6.55545 0.01116 3.10061 11
1.24192 8.06131 0.01117 0 -30.16500 4.18633 0.01116 1.88014 11
-1.25112 8.50026 0.01117 0 -29.87256 6.70621 0.01116 1.42556 11
4.08635 6.11451 0.01117 0 25.89035 16.32011 0.01116 1.54473 11
-2.07116 1304.94034 0.00191 0 -25.16958 -18.11816 0.00040 0.06739 22
0.24494 79.12647 0.00413 0 7.58715 -29.50766 0.00262 -0.17739 22
0.07607 9.64721 0.03618 0 6.74441 -30.16500 0.01457 -0.00786 -11
-0.65588 8.48317 0.03618 0 20.39365 -22.26610 0.01457 -0.01418 -11
-0.68187 9.75570 0.03618 0 -21.23924 21.42051 0.01457 -0.01456 -11
-0.37986 8.06418 0.03618 0 13.64740 -26.99742 0.01457 -0.01379 -11
0.27347 8.63149 0.03618 0 -1.91129 -30.16500 0.01457 -0.01395 -11
0.14589 9.42763 0.03618 0 -1.55830 30.16500 0.01457 -0.01432 -11
-0.94791 9.85369 0.03618 0 22.32259 -20.33716 0.01457 -0.01423 -11
-0.28255 12.47954 0.03618 0 13.58616 -27.02279 0.01457 -0.01374 -11
-7.56168 9.30277 0.03618 0 30.16500 0.84904 0.01457 -0.01427 -11
-0.47228 7.16119 0.03618 0 17.10267 -25.56620 0.01457 -0.00935 -11
0.36228 8.94932 0.03618 0 5.42861 30.40176 0.01457 -0.00898 -11
1.78541 8.90457 0.03618 0 23.98056 18.67920 0.01457 -0.01270 -11
-5.66743 9.48757 0.03618 0 -30.16500 0.09976 0.01457 -0.01430 -11
1.21761 8.95396 0.03618 0 -20.54586 -22.11389 0.01457 -0.01435 -11
-1.17172 3.07432 0.03618 0 26.83929 -13.98540 0.01457 -0.01373 -11
-0.31856 8.21418 0.03618 0 -16.23884 25.92401 0.01457 -0.01083 -11
7.25058 2.57043 0.03618 0 28.73371 9.40903 0.01457 -0.01377 -11
